,Ano de ingresso,Semestre de ingresso no curso,Código,Gênero,Data de nascimento,Forma de ingresso,Tipo de cota,Município SISU,UF SISU,País de nascimento,Mudou de curso - mesmo campus,Mudou de curso - outro campus,Cor ou raça,Ano,Semestre,Coeficiente de rendimento,Disciplinas matriculadas,Disciplinas aprovadas,Disciplinas reprovadas por nota,Disciplinas reprovadas por frequência,Disciplinas consignadas,Situação,Período
269,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2007,1,0.6034,6,5,1,0,0,Regular,1
264,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2007,2,0.53,7,3,2,2,0,Regular,2
267,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2008,1,0.5299,7,5,1,1,0,Regular,2
268,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2008,2,0.5536,5,4,0,1,0,Regular,2
270,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2009,1,0.5253,8,4,3,1,0,Regular,3
271,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2009,2,0.5107,4,2,1,1,0,Regular,3
266,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2010,1,0.494,4,2,0,2,0,Regular,3
265,2007,1,16,Masculino,1989-03-28,Vestibular,Sem cotas,,,Brasil,Sim,Não,Não declarado,2010,2,0.494,0,0,0,0,0,Mudou de Curso,3
287,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.2969,6,2,4,0,0,Regular,1
288,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.2969,0,0,0,0,0,Trancado,1
286,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.2969,0,0,0,0,0,Trancado,1
283,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.2969,0,0,0,0,0,Trancado,1
285,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.2969,0,0,0,0,0,Trancado,1
284,2007,1,17,Masculino,1988-02-17,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.2969,0,0,0,0,0,Desistente,1
294,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,1,0.9086,6,6,0,0,0,Regular,1
298,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,2,0.8775,7,7,0,0,0,Regular,2
289,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,1,0.8688,8,8,0,0,0,Regular,3
297,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,2,0.8773,7,7,0,0,0,Regular,4
290,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,1,0.8658,7,7,0,0,0,Regular,5
293,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,2,0.8448,7,7,0,0,0,Regular,6
295,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,1,0.8298,8,7,1,0,0,Regular,7
296,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,2,0.8248,6,6,0,0,0,Regular,9
291,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,1,0.8271,5,5,0,0,0,Regular,10
292,2007,1,18,Masculino,1988-08-26,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,2,0.8124,8,5,0,3,2,Formado,10
299,2007,1,19,Masculino,1989-03-08,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Desistente,1
300,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,1,0.531,6,5,1,0,0,Regular,1
315,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2007,2,0.4438,7,2,4,1,0,Regular,2
316,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,1,0.4921,9,7,1,1,0,Regular,2
303,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2008,2,0.4692,8,4,1,2,0,Regular,2
306,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,1,0.4834,6,4,2,0,0,Regular,3
307,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2009,2,0.5157,7,6,1,0,0,Regular,3
312,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,1,0.5126,7,4,2,1,0,Regular,3
313,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2010,2,0.5167,7,5,1,1,0,Regular,4
311,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,1,0.5188,7,4,3,0,0,Regular,4
310,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2011,2,0.5243,4,2,2,0,0,Regular,4
302,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2012,1,0.535,3,3,0,0,0,Regular,4
301,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2012,2,0.5492,5,4,1,0,1,Regular,5
305,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2013,1,0.5467,6,4,1,1,0,Regular,6
304,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2013,2,0.5509,5,3,2,0,0,Regular,6
309,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2014,1,0.5617,5,5,0,0,0,Regular,7
308,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2014,2,0.5651,2,2,0,0,0,Regular,10
314,2007,1,20,Masculino,1989-10-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2015,1,0.571,4,4,0,0,0,Formado,10
406,2007,1,21,Masculino,1986-05-15,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.6076,0,5,1,0,0,Regular,1
401,2007,1,21,Masculino,1986-05-15,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.5508,0,4,3,0,0,Regular,2
396,2007,1,21,Masculino,1986-05-15,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.4078,0,0,0,7,0,Regular,2
